更新时间: 2026-04-26 04:24:24（北京时间）

更新时间,#genre#
2026-04-26 04:24:24,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

📺央视频道,#genre#
天津卫视,http://192.144.185.155:6000/rtp/225.1.8.48:8044$北京市电信
天津卫视,http://58.62.234.243:10000/rtp/239.77.0.131:5146$广东电信
天津卫视,http://223.10.214.111:6000/rtp/239.1.1.46:8046$山西电信
天津卫视,http://171.8.84.159:8800/rtp/239.16.20.96:10960$河南电信
安徽卫视,http://183.220.107.138:4022/rtp/239.11.0.117:5140$四川移动
安徽卫视,http://121.230.144.64:8000/rtp/239.49.8.80:8000$江苏电信
安徽卫视,http://192.144.185.155:6000/rtp/225.1.8.52:8064$北京市电信
安徽卫视,http://58.62.234.243:10000/rtp/239.77.0.183:5146$广东电信
安徽卫视,http://223.10.214.111:6000/rtp/239.1.1.44:8044$山西电信
安徽卫视,http://171.8.84.159:8800/rtp/239.16.20.75:10750$河南电信
山东卫视,http://183.220.107.138:4022/rtp/239.11.0.73:5140$四川移动
山东卫视,http://121.230.144.64:8000/rtp/239.49.8.7:9306$江苏电信
山东卫视,http://192.144.185.155:6000/rtp/225.1.8.50:8052$北京市电信
山东卫视,http://58.62.234.243:10000/rtp/239.77.0.94:5146$广东电信
山东卫视,http://58.62.234.243:10000/rtp/239.77.0.61:5146$广东电信
山东卫视,http://223.10.214.111:6000/rtp/239.1.1.47:8047$山西电信
山东卫视,http://171.8.84.159:8800/rtp/239.16.20.80:10800$河南电信
辽宁卫视,http://183.220.107.138:4022/rtp/239.11.0.118:5140$四川移动
辽宁卫视,http://121.230.144.64:8000/rtp/239.49.8.48:8000$江苏电信
辽宁卫视,http://192.144.185.155:6000/rtp/225.1.8.51:8056$北京市电信
辽宁卫视,http://58.62.234.243:10000/rtp/239.77.1.103:5146$广东电信
辽宁卫视,http://223.10.214.111:6000/rtp/239.1.1.42:8042$山西电信
辽宁卫视,http://171.8.84.159:8800/rtp/239.16.20.95:10950$河南电信
黑龙江卫视,http://183.220.107.138:4022/rtp/239.11.0.36:5140$四川移动
黑龙江卫视,http://121.230.144.64:8000/rtp/239.49.8.14:9426$江苏电信
黑龙江卫视,http://192.144.185.155:6000/rtp/225.1.8.42:8016$北京市电信
黑龙江卫视,http://58.62.234.243:10000/rtp/239.77.0.93:5146$广东电信
黑龙江卫视,http://223.10.214.111:6000/rtp/239.1.1.37:8037$山西电信
黑龙江卫视,http://171.8.84.159:8800/rtp/239.16.20.99:10990$河南电信
吉林卫视,http://183.220.107.138:4022/rtp/239.11.0.35:5140$四川移动
吉林卫视,http://121.230.144.64:8000/rtp/239.49.8.113:8000$江苏电信
吉林卫视,http://58.62.234.243:10000/rtp/239.77.1.111:5146$广东电信
吉林卫视,http://223.10.214.111:6000/rtp/239.1.1.30:8030$山西电信
吉林卫视,http://171.8.84.159:8800/rtp/239.16.20.94:10940$河南电信
内蒙古卫视,http://183.220.107.138:4022/rtp/239.11.0.33:5140$四川移动
内蒙古卫视,http://58.62.234.243:10000/rtp/239.77.0.70:5146$广东电信
内蒙古卫视,http://223.10.214.111:6000/rtp/239.1.1.60:8060$山西电信
宁夏卫视,http://183.220.107.138:4022/rtp/239.11.0.57:5140$四川移动
宁夏卫视,http://58.62.234.243:10000/rtp/239.77.0.49:5146$广东电信
宁夏卫视,http://58.62.234.243:10000/rtp/239.77.0.73:5146$广东电信
宁夏卫视,http://223.10.214.111:6000/rtp/239.1.1.56:8056$山西电信
山西卫视,http://183.220.107.138:4022/rtp/239.11.0.32:5140$四川移动
山西卫视,http://58.62.234.243:10000/rtp/239.77.0.69:5146$广东电信
山西卫视,http://223.10.214.111:6000/rtp/239.1.1.1:8001$山西电信
陕西卫视,http://183.220.107.138:4022/rtp/239.11.0.54:5140$四川移动
陕西卫视,http://58.62.234.243:10000/rtp/239.77.1.54:5146$广东电信
陕西卫视,http://223.10.214.111:6000/rtp/239.1.1.50:8050$山西电信
陕西卫视,http://171.8.84.159:8800/rtp/239.16.20.83:10830$河南电信
甘肃卫视,http://183.220.107.138:4022/rtp/239.11.0.55:5140$四川移动
甘肃卫视,http://58.62.234.243:10000/rtp/239.77.0.189:5146$广东电信
甘肃卫视,http://58.62.234.243:10000/rtp/239.77.1.57:5146$广东电信
甘肃卫视,http://223.10.214.111:6000/rtp/239.1.1.51:8051$山西电信
甘肃卫视,http://171.8.84.159:8800/rtp/239.16.20.102:11020$河南电信
青海卫视,http://183.220.107.138:4022/rtp/239.11.0.56:5140$四川移动
青海卫视,http://58.62.234.243:10000/rtp/239.253.43.125:5146$广东电信
青海卫视,http://223.10.214.111:6000/rtp/239.1.1.53:8053$山西电信
青海卫视,http://171.8.84.159:8800/rtp/239.16.20.101:11010$河南电信
新疆卫视,http://183.220.107.138:4022/rtp/239.11.0.58:5140$四川移动
新疆卫视,http://58.62.234.243:10000/rtp/239.77.0.47:5146$广东电信
新疆卫视,http://223.10.214.111:6000/rtp/239.1.1.59:8059$山西电信
西藏卫视,http://183.220.107.138:4022/rtp/239.11.0.53:5140$四川移动
西藏卫视,http://58.62.234.243:10000/rtp/239.77.1.26:5146$广东电信
西藏卫视,http://58.62.234.243:10000/rtp/239.77.0.74:5146$广东电信
西藏卫视,http://223.10.214.111:6000/rtp/239.1.1.57:8057$山西电信
三沙卫视,http://183.220.107.138:4022/rtp/239.10.0.116:5140$四川移动
三沙卫视,http://121.230.144.64:8000/rtp/239.49.0.167:8000$江苏电信
